THE LIST CONTAINS THE EXPERIMENTAL TRANSITIONS ASSIGNED IN THE GROUND STATE OF 14ND3 FROM THE LITERATURE ( MW TRANSITIONS) AND
FROM THE NEW ASSIGNMENTS OF THE FIR SPECTRA RECENTLY RECORDED ( SEE https://doi.org/10.1016/j.jms.2023.111797 ).
IN THE HEADINGS OF COLUMNS 1-4 THE LETTER U AND L MEAN UPPER AND LOWER, RESPECTIVELY.
IN COLUMNS 5 AND 6 ARE INDICATED THE SYMMETRY WITH RESPECT THE INVERSION
MOTION. 1 CORRESPONDS TO ANTISYMMETRIC WHILE 0 TO SYMMETRIC WITH RESPECT THE INVERSION.
THE CALCULATED VALUE OF TRANSITIONS ARE OBTAINED FROM THE SPECTROSCOPIC FITTING PROCEDURE.
THE K=-3 LEVEL IS THAT AT LOWER ENERGY IN THE K=+,- 3 DOUBLET.

14ND3 MW transitions assigned in the ground state 

     JU  KU     JL  KL    U L     OBS/CM-1    CALC/CM-1    OBS-CALC      WEIGHT         OBS/MHZ        CALC/MHZ    OBS-CALC      UNC/CM-1
     10   3      9   3    0 1   102.099486   102.099722   -0.000236   0.100E+09     3060865.587     3060872.673      -7.086     0.00010000
     10  -3      9  -3    0 1   102.099486   102.098957    0.000529   0.100E+07     3060865.590     3060849.741      15.849     0.00100000
     10  -3      9  -3    1 0   102.179607   102.179221    0.000386   0.100E+09     3063267.554     3063255.971      11.583    0.00010000
     10   3      9   3    1 0   102.179607   102.179997   -0.000390   0.100E+07     3063267.554     3063279.243     -11.689     0.00100000
     10   1      9   4    1 1   131.763403   131.763251    0.000152   0.100E+09     3950167.446     3950162.875       4.571     0.00010000
     10   4      9   4    0 1   102.145086   102.144832    0.000254   0.100E+09     3062232.640     3062225.019       7.622     0.00010000
     10   4      9   4    1 0   102.227906   102.227883    0.000023   0.100E+09     3064715.522     3064714.836       0.686     0.00010000
     10   2      9   5    0 0   143.729075   143.729072    0.000003   0.100E+09     4308889.268     4308889.183       0.085     0.00010000
     10   5      9   5    0 1   102.203544   102.203534    0.000010   0.100E+09     3063985.167     3063984.873       0.294     0.00010000
     10   5      9   5    1 0   102.290157   102.290308   -0.000151   0.100E+09     3066581.760     3066586.284      -4.525     0.00010000
     10   2      9   5    1 1   143.722559   143.722198    0.000361   0.100E+09     4308693.923     4308683.091      10.833    0.00010000
     10   6      9   6    0 1   102.275583   102.275606   -0.000023   0.100E+09     3066144.842     3066145.539      -0.697     0.00010000
     10   6      9   6    1 0   102.367178   102.367161    0.000017   0.100E+09     3068890.791     3068890.283       0.508     0.00010000
     10   7      9   7    0 1   102.361178   102.361241   -0.000063   0.100E+09     3068710.916     3068712.817      -1.901     0.00010000
     10   7      9   7    1 0   102.458774   102.458794   -0.000020   0.100E+09     3071636.770     3071637.355      -0.585     0.00010000
     10   4      9   7    1 1   167.864335   167.864470   -0.000135   0.100E+09     5032446.160     5032450.202      -4.041     0.00010000
     10   8      9   8    0 1   102.460598   102.460666   -0.000068   0.100E+09     3071691.452     3071693.505      -2.053     0.00010000
     10   8      9   8    1 0   102.565607   102.565637   -0.000030   0.100E+09     3074839.543     3074840.451      -0.909     0.00010000
      9  -6      9   9    1 1    89.978142    89.978228   -0.000086   0.100E+09     2697476.836     2697479.412      -2.577     0.00010000
      9   6      9   9    0 0    89.990054    89.989869    0.000185   0.100E+09     2697833.948     2697828.406       5.542     0.00010000
     10   9      9   9    0 1   102.574110   102.574140   -0.000030   0.100E+09     3075094.456     3075095.342      -0.885     0.00010000
     10   9      9   9    1 0   102.688266   102.688216    0.000050   0.100E+09     3078516.767     3078515.260       1.507     0.00010000
     11   0     10   0    0 1   112.076599   112.076623   -0.000024   0.100E+09     3359971.910     3359972.626      -0.716     0.00010000
     11   0     10   0    1 0   112.148439   112.148459   -0.000020   0.100E+09     3362125.619     3362126.215      -0.596     0.00010000
