J'  k'     J"  k"  s' s"   OBS/CM-1    CALC/CM-1  OBS-CALC/CM-1  WEIGHT      UNC/CM-1        OBS/MHZ        CALC/MHZ    OBS-CALC/MHZ
 3   2      2   1    s a    24.778683    24.779133   -0.000450   0.104E+07    0.00069282     742846.228      742859.712     -13.483   
 3   1      2   1    s s    30.837688    30.837351    0.000337   0.208E+07    0.00056569     924490.628      924480.520      10.108   
 3   1      2   1    s s    30.837490    30.837351    0.000139   0.250E+06    0.00141421     924484.693      924480.520       4.172   
 3   1      2   1    s s    30.837330    30.837351   -0.000021   0.250E+06    0.00141421     924479.896      924480.520      -0.625   
 3   1      2   1    s s    30.835991    30.837351   -0.001360   0.208E+07    0.00056569     924439.754      924480.520     -40.767   
 3   2      2   1    a s    24.885830    24.883509    0.002321   0.125E+06    0.00200000     746058.415      745988.828      69.586   
 3   1      2   1    s s    30.835830    30.837351   -0.001521   0.333E+06    0.00141421     924434.927      924480.520     -45.593   
 3   1      2   1    a a    30.836387    30.836335    0.000052   0.208E+07    0.00056569     924451.625      924450.072       1.553   
 3   1      2   1    s s    30.835900    30.837351   -0.001451   0.333E+06    0.00141421     924437.026      924480.520     -43.495   
 3   1      2   1    s s    30.837510    30.837351    0.000159   0.208E+07    0.00056569     924485.292      924480.520       4.772   
 3   2      2   1    s a    24.785000    24.779133    0.005867   0.133E+06   0.00173205      743035.607      742859.712     175.895   
 3   1      2   1    a a    30.836154    30.836335   -0.000181   0.208E+07    0.00056569     924444.640      924450.072      -5.432   
 3   1      2   1    a a    30.836170    30.836335   -0.000165   0.333E+06    0.00141421     924445.120      924450.072      -4.952   
 3   1      2   1    s s    30.837380    30.837351    0.000029   0.250E+06    0.00141421     924481.395      924480.520       0.874   
 3   1      2   1    a a    30.836320    30.836335   -0.000015   0.250E+06    0.00141421     924449.617      924450.072      -0.456   
 3   1      2   1    s s    30.837544    30.837351    0.000193   0.208E+07    0.00056569     924486.311      924480.520       5.791   
 3   1      2   1    s s    30.844810    30.837351    0.007459   0.200E+06   0.00141421      924704.141      924480.520     223.620   
 3   1      2   1    a a    30.836844    30.836335    0.000509   0.250E+06    0.00141421     924465.326      924450.072      15.254   
 3   1      2   1    a a    30.835690    30.836335   -0.000645   0.333E+06    0.00141421     924430.730      924450.072     -19.342   
 3   1      2   1    s s    30.837013    30.837351   -0.000338   0.156E+07    0.00056569     924470.392      924480.520     -10.128   
